职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
Java开发工程师,金蝶软件（中国）有限公司,3-4年经验,本科,深圳,10000,15000,"岗位职责：核心职责为金蝶HR产品设计和开发：1、根据产品规划与需求文档，进行产品模块级或功能级的设计与开发；2、根据业务及技术规划制定应用设计方案，负责/参与应用框架的设计、开发、重构、优化；3、负责金蝶HR系统的开发与维护任职资格：1、计算机或相关专业全日制本科以上学历；2、精通Java开发。3、熟悉Struts、Spring等主流框架。4、熟悉Jquery，JavaScript。5、熟悉Oracle、SQL server,MySQL至少一种数据库的设计和开发；6、了解软件工程、编程规范、有过程控制意识；7、良好的沟通能力及团队合作精神，善于沟通，能攻关难点问题，能承担较强工作压力；8.有移动开发经验的优先考虑。",外资（非欧美）,5000,10000,"计算机软件,互联网/电子商务"
软件开发实习生,金蝶软件（中国）有限公司,无工作经验,本科,深圳,2000,4000,"岗位职责：核心职责为金蝶HR产品设计和开发：1、根据产品规划与需求文档，进行产品模块级或功能级的设计与开发；2、根据业务及技术规划制定应用设计方案，负责/参与应用框架的设计、开发、重构、优化；3、负责金蝶HR系统的开发任职要求：1、2018年在读大学生，计算机或相关专业全日制本科以上学历；2、2年以上工作经验，精通Java开发。3、熟悉Struts、Spring等主流框架。4、熟悉Jquery，JavaScript。5、熟悉Oracle、SQL server,MySQL至少一种数据库的设计和开发；6、了解软件工程、编程规范、有过程控制意识；7、良好的沟通能力及团队合作精神，善于沟通，能攻关难点问题，能承担较强工作压力；8.有移动开发经验的优先考虑。",外资（非欧美）,5000,10000,"计算机软件,互联网/电子商务"
Web前端开发工程师,中兴软件技术（南昌）有限公司,3-4年经验,大专,佛山,6000,10000,任职要求：1.3年以上的经验2.精通Web前端技术（HTML5/CSS3/Javascript/es6ue全家桶/jquery/jqueryUI/Bootstrap)和标准规范3.熟练使用webpack、gulp等构建工具；熟练使用调试、抓包工具；有前端性能优化实践经验；解决兼容性问题；熟悉前端安全4.熟悉前端模块化、组件化以及MVVM等开发思想，具有一定的前端架构能力，编写符合规范、易读、易扩展、易于维护的前端代码5.有优秀的解决问题的能力，对分析和处理有挑战性的问题充满激情；有很强的学习能力，积极主动，能承担压力，工作态度认真负责6.有Hybrid App、web app、angular2+ionic2，移动开发优先7.有编写单元测试经验者、了解nodejs优先,民营公司,500,1000,"计算机软件,通信/电信运营、增值服务"
Java开发工程师,北京起步科技股份有限公司,2年经验,大专,昆明-官渡区,8000,10000,工作说明同样是程序员，其实有天壤之别！多的是低端重复劳动岗位，少的是创新高成长机会。云和移动是技术的滚滚大潮，而开发平台永远是软件的基石。我们邀请您参与的工作，正是基于云和移动的开发平台，真诚邀请您参与创新无限、前沿先锋的技术创新研发工作，立即点击了解www.justep.com工作职责负责开源移动开发平台产品（www.justep.com/studio.html）的研发工作，参与核心的开发和使用最前沿的移动和web开发技术；负责产品的前端框架、组件和可视化设计器等的开发；负责持续优化前端框架和组件的呈现，提升产品用户体验；以上工作都是与起步软件公司的北京核心产品研发团队充分协作完成。职位要求精通HTML、HTML5、CSS、JS、jquery等web开发技术；掌握Java开发，并有一定的实战经验；有Extjs、jquery Mobile等框架开发经验者优先；同时有nodejs开发经验者优先；具有良好的审美观和用户体验意识及良好的编码习惯：工作积极主动，认真负责。月薪范围：5k-20k应聘须知如有Github账户、StackOverflow账户、知乎账户、个人微博或博客等也请您一并告知。,民营公司,50,150,计算机软件
Cocos2d-lua（quick）工程师,四川极火网络信息技术有限公司,3-4年经验,大专,成都-高新区,8000,16000,岗位职责：1.棋牌游戏客户端功能开发、优化、维护；2.与策划、美术、服务端人员共同协作，完成棋牌项目。任职要求：1.掌握Cocos2d-x/lua(或quick-cocos2dx-lua)游戏引擎；2.具备扎实的编程功底，了解ios或android移动开发;3.2年以上游戏行业相关工作经验，有棋牌游戏开发经验者优先；薪资：8k-16k+项目提成福利：五险一金+加班补贴+加班零食+餐补+项目提成,民营公司,50,50,"网络游戏,计算机软件"
Cocos2d-lua（quick）工程师,四川极火网络信息技术有限公司,3-4年经验,大专,成都-高新区,8000,16000,岗位职责：1.棋牌游戏客户端功能开发、优化、维护；2.与策划、美术、服务端人员共同协作，完成棋牌项目。任职要求：1.掌握Cocos2d-x/lua(或quick-cocos2dx-lua)游戏引擎；2.具备扎实的编程功底，了解ios或android移动开发;3.2年以上游戏行业相关工作经验，有棋牌游戏开发经验者优先；薪资：8k-16k+项目提成福利：五险一金+加班补贴+加班零食+餐补+项目提成,民营公司,50,50,"网络游戏,计算机软件"
Cocos2d-lua（quick）工程师,四川极火网络信息技术有限公司,3-4年经验,大专,成都-高新区,8000,16000,岗位职责：1.棋牌游戏客户端功能开发、优化、维护；2.与策划、美术、服务端人员共同协作，完成棋牌项目。任职要求：1.掌握Cocos2d-x/lua(或quick-cocos2dx-lua)游戏引擎；2.具备扎实的编程功底，了解ios或android移动开发;3.  2年以上游戏行业相关工作经验，有棋牌游戏开发经验者优先；薪资：8k-16k+项目提成福利：五险一金+加班补贴+加班零食+餐补+项目提成,民营公司,50,50,"网络游戏,计算机软件"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,7000,12000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android中级开发工程师,杭州魔厨科技有限公司,3-4年经验,本科,杭州-西湖区,10000,15000,岗位职责1、负责APP的功能开发和性能优化，完成高质量编码和测试工作；2、参与产品需求讨论，功能定义；3、参与技术讨论，分析重构应用代码，承担重点、难点的技术攻坚；4、协调产品、设计、测试团队按时按质完成项目开发。岗位要求1、2年以上Android实际开发经验，能够独立完成核心功能；2、具有扎实的编程功底，良好的设计能力和编程习惯；3、具备优良的分析问题和解决问题能力，具备一定的应用性能调优经验；4、熟悉网络编程、多线程、图形界面编程，掌握模块化架构；5、积极乐观，责任心强，工作认真细致，具有良好的沟通能力及协作能力；6、热爱移动产品研发，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新的移动开发技术。,民营公司,50,50,互联网/电子商务
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,6000,11000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,5000,10000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
软件开发工程师,太极计算机股份有限公司,3-4年经验,本科,海口,6000,8000,工作职责：1 、按照项目管理要求，完成软件开发、项目实施相关工作；2 、按照公司管理规定，编写项目开发相关文档；3 、与用户沟通，进行系统的培训、技术支持，保持良好的客户关系。职位要求：1 、计算机软件及相关专业，本科及以上学历 ；2 、 1 年以上软件开发经验；3 、精通Java及 相关技术、主流框架，熟练使用开发工具，具有良好的编码习惯；4、精通 html、ajax、jquery 等 web 开发技术，熟悉 html5 者优先；5、精通数据库技术，熟练掌握 SQL，熟悉使用 Oracle、SQL Server 、Mysql 等数据库；6、有移动开发经验者优先；有政府行业项目经验优先；7、具备良好的文档撰写能力和交流沟通能力；8、有团队合作精神、爱岗敬业、积极上进，富有创新精神，能承担压力；,国企,1000,5000,"计算机软件,计算机服务(系统、数据服务、维修)"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Web前端开发工程师(职位编号：技术中心),上海百联大宗商品电子商务有限公司,3-4年经验,本科,上海-普陀区,15000,20000,岗位职责1)负责web前端架构设计和研发；2)负责制定前端的规范，建立前端集成环境；3)积累前端技术，形成一套带有公司特色的、易用的UI界面和控件库；4)带领和培养初中级工程师，负责前端团队建设。任职资格1)大学本科或以上学历；2)精通HTML5/CSS3，熟练掌握bootstrap以及sass；3) 熟练掌握主流Web前端开发框架，至少掌握AngularJS、ReactJS、 Vue.js、avalon.js一种；4) 熟悉nodejs、gulp、grunt、npm，webpack等常用开发工具，熟悉前端构建及性能优化；5)较强的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力；6)有混合移动开发经验者优先。,国企,50,150,互联网/电子商务
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
Android开发工程师,上海肖克利信息科技股份有限公司,无工作经验,本科,上海-徐汇区,9000,14000,岗位职责：1、根据需求负责安卓终端模块的设计开发；2、按照不同平台以及系统版本进行移植2、对软件进行优化，改善用户体验；3、负责产品样机软件的功能调试以及文档编写等；4、分析并解决在软件开发过程中遇到的问题；岗位要求：1、对于电子产品设计开发有浓厚的兴趣；2、本科及以上学历，电子、通信、计算机、自动化等相关专业；3、熟悉安卓系统架构以及系统源码；4、熟练掌握安卓系统工作原理以及API的使用；5、熟悉安卓开发环境软件，如：Eclipse，Android Studio等，有APP开发的经验；6、了解Linux内核以及驱动实现方式；7、熟悉JAVA和Linux C/C++语言编程；8、会使用JNI接口，有NDK环境的C/C++开发经验更佳；福利待遇：1、按法定缴纳相应保险，所有员工享有五险一金（试用期员工同样缴纳）2、享受国家法定节假日，并会发放节日福利3、所有员工可享公费旅游、定期体检4、上班时间：周一至周五09:00——18:00 周末双休5、午休时间：12:00——13:006、有员工食堂，以及免费饮料供应7、全体员工除享受以上福利待遇外还将享受带薪年假、病假、丧假、婚假、产假等国家法定节假日,上市公司,50,150,"电子技术/半导体/集成电路,贸易/进出口"
iOS高级开发工程师,深圳河马信息科技服务有限公司东莞分公司,无工作经验,大专,东莞-南城区,8000,10000,岗位职责：1、负责公司ios产品的架构设计、方案的制定；2、根据需求能独立完成所负责app模块的设计、开发、调试工作；3、负责ios app产品的应用开发和研究，以及应用平台的相关技术支持；4、独立完成ios应用软件开发、验证和修正测试及运行中发现的问题；任职要求：1、熟练掌握ios开发技术，熟练使用ios开发工具，有“原型”和“需求”的设计能力，至少1年以上的实际ios平台开发经验；2、有良好的编程基础，熟悉Java程序设计语言，精通多线程、面向对象设计；3、熟悉移动应用的开发与发布流程、熟悉各类移动开发环境，熟练使用常用的算法和设计模式；4、有良好的团队协作能力和沟通能力，有较强的学习和自我总结能力；5、积极、主动、敬业，具备良好的团队合作精神、自学能力、沟通能力和抗压能力；6、有服务意识和责任心，重视交付质量。,民营公司,50,150,"金融/投资/证券,互联网/电子商务"
IT零售图书策划编辑（互联网+方向）(职位编号：003),清华大学出版社第六事业部,3-4年经验,本科,北京-海淀区,5000,12000,1、负责计算机、通信电子、企业信息化、设计领域店销图书的选题策划、组稿、编辑加工、审稿及营销等工作，完成部门下达的销售额、利润额、编辑加工及审稿字数等考核指标；2、对产品进行市场调研，制定策划、营销方案；3、建立与维护作者队伍，与作者沟通洽谈合作事项；4、监督作者按策划方案和出版协议要求编写书稿；5、初审稿件，对质量提出评价意见，并监控整个出版流程；6、提交装帧设计要求和建议，与相关人员进行沟通确认；7、与营销编辑及相关部门配合，实施选题的营销方案，并对营销效果进行跟踪、检查；8、及时获取、分析销售及市场反馈信息，做好产品日常维护工作。【职位要求】1、 全日制大学本科及以上学历，计算机、通信电子、机械自动化、数字媒体等相关专业；2、 对互联网+、移动开发、大数据、物联网、云计算等新兴业态和技术有浓厚兴趣；3、 对相关领域前沿热点问题能够敏锐地捕捉、跟踪和分析，有独到见解；4、 具有较强的表达沟通能力和组织协调能力，有良好的敬业精神及团队合作精神；5、 具有较强的创意策划能力和扎实的文案功底；6、 有图书编辑或相关行业工作经验者优先；7、 年龄35岁以下（条件优秀者可适当放宽），身体健康。,国企,50,150,文字媒体/出版
iOS开发工程师,广州朗国电子科技有限公司,2年经验,本科,广州-天河区,7000,14000,"岗位职责：1. 负责公司iOS客户端应用软件的开发与维护；2. 负责按照项目计划，按时提交高质量的代码，完成开发任务；3. 负责开发文档的编写、维护和规范；4. 对iOS平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议；5. 参与软件产品项目规划工作，协助制定具体项目实施方案，参与软件系统的设计和分析。任职要求：1. 本科及以上学历，计算机相关专业；2. 熟练掌握C/C++/Objective-C/Swift/Cocoa编程，熟练使用iOS SDK及相关开发工具；3. 熟悉iOS客户端与后台通信技术，掌握Socket和Http网络通信协议；4. 熟练使用Xcode工具，深入理解Cocoa框架，熟悉iOS SDK ；5. 对iPhone/iPad的应用有较好的理解能力，能快速理解用户需求在移动终端上的表达；6. 具备良好的团队工作精神，有较强的快速学习能力，独立分析解决题的能力；7. 对移动开发有热情和激情，具有基本的移动程序开发的概念，能够胜任钻研新技术的挑战 ；8. 有AppStore线上作品者优先。",民营公司,50,150,"电子技术/半导体/集成电路,互联网/电子商务"
